"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0001"	"0"	"0"	"32"	"36"	"0"
"NLA06608-0002"	"4"	"4"	"6"	"30"	"0"
"NLA06608-0003"	"0"	"0"	"1"	"5"	"1"
"NLA06608-0004"	"1"	"1"	"3"	"47"	"1"
"NLA06608-0005"	"0"	"0"	"0"	"12"	"0"
"NLA06608-0006"	"3"	"15"	"54"	"185"	"0"
"NLA06608-0007"	"0"	"0"	"2"	"21"	"0"
"NLA06608-0008"	"0"	"0"	"13"	"28"	"0"
"NLA06608-0010"	"1"	"2"	"9"	"37"	"0"
"NLA06608-0012"	"0"	"4"	"45"	"120"	"3"
"NLA06608-0013"	"71"	"137"	"411"	"827"	"0"
"NLA06608-0014"	"0"	"0"	"4"	"27"	"0"
"NLA06608-0015"	"1"	"2"	"2"	"8"	"1"
"NLA06608-0016"	"1"	"1"	"2"	"5"	"2"
"NLA06608-0019"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0020"	"0"	"1"	"29"	"106"	"0"
"NLA06608-0021"	"0"	"0"	"9"	"16"	"0"
"NLA06608-0023"	"0"	"0"	"1"	"9"	"0"
"NLA06608-0024"	"0"	"0"	"2"	"21"	"0"
"NLA06608-0025"	"2"	"7"	"30"	"68"	"0"
"NLA06608-0029"	"3"	"7"	"64"	"296"	"0"
"NLA06608-0031"	"0"	"5"	"17"	"52"	"0"
"NLA06608-0033"	"0"	"5"	"19"	"87"	"22"
"NLA06608-0036"	"0"	"2"	"19"	"43"	"0"
"NLA06608-0037"	"1"	"13"	"63"	"243"	"0"
"NLA06608-0038"	"0"	"1"	"8"	"69"	"0"
"NLA06608-0041"	"0"	"3"	"9"	"19"	"0"
"NLA06608-0042"	"0"	"0"	"9"	"42"	"2"
"NLA06608-0043"	"0"	"0"	"6"	"32"	"0"
"NLA06608-0044"	"0"	"0"	"0"	"1"	"4"
"NLA06608-0045"	"2"	"2"	"10"	"47"	"0"
"NLA06608-0048"	"0"	"3"	"13"	"28"	"0"
"NLA06608-0049"	"0"	"3"	"8"	"12"	"9"
"NLA06608-0050"	"0"	"0"	"25"	"133"	"0"
"NLA06608-0053"	"0"	"0"	"3"	"77"	"0"
"NLA06608-0057"	"0"	"5"	"15"	"72"	"0"
"NLA06608-0061"	"0"	"0"	"1"	"3"	"1"
"NLA06608-0062"	"0"	"0"	"0"	"4"	"1"
"NLA06608-0064"	"0"	"0"	"0"	"0"	"0"
"NLA06608-0065"	"0"	"0"	"0"	"30"	"0"
"NLA06608-0066"	"1"	"3"	"22"	"52"	"0"
"NLA06608-0068"	"0"	"5"	"17"	"67"	"5"
"NLA06608-0069"	"3"	"8"	"30"	"53"	"0"
"NLA06608-0071"	"1"	"1"	"7"	"26"	"0"
"NLA06608-0072"	"0"	"0"	"0"	"5"	"0"
"NLA06608-0073"	"2"	"11"	"35"	"79"	"22"
"NLA06608-0076"	"0"	"1"	"49"	"72"	"1"
"NLA06608-0077"	"43"	"147"	"368"	"797"	"0"
"NLA06608-0078"	"0"	"0"	"2"	"14"	"0"
"NLA06608-0079"	"1"	"5"	"66"	"241"	"23"
"NLA06608-0080"	"0"	"1"	"4"	"44"	"0"
"NLA06608-0081"	"0"	"3"	"9"	"65"	"0"
"NLA06608-0083"	"0"	"0"	"0"	"1"	"1"
"NLA06608-0085"	"0"	"0"	"0"	"7"	"0"
"NLA06608-0086"	"4"	"42"	"130"	"229"	"12"
"NLA06608-0089"	"1"	"9"	"21"	"76"	"0"
"NLA06608-0090"	"4"	"5"	"6"	"13"	"4"
"NLA06608-0091"	"0"	"19"	"52"	"95"	"0"
"NLA06608-0099"	"0"	"2"	"38"	"80"	"0"
"NLA06608-0101"	"1"	"14"	"35"	"367"	"0"
"NLA06608-0102"	"0"	"0"	"9"	"24"	"0"
"NLA06608-0104"	"0"	"1"	"2"	"13"	"0"
"NLA06608-0105"	"0"	"0"	"0"	"12"	"0"
"NLA06608-0107"	"0"	"3"	"19"	"24"	"0"
"NLA06608-0110"	"0"	"4"	"10"	"24"	"0"
"NLA06608-0111"	"1"	"2"	"12"	"49"	"0"
"NLA06608-0112"	"0"	"1"	"1"	"11"	"0"
"NLA06608-0113"	"0"	"2"	"5"	"65"	"0"
"NLA06608-0115"	"0"	"3"	"8"	"55"	"0"
"NLA06608-0116"	"4"	"6"	"11"	"21"	"5"
"NLA06608-0120"	"0"	"3"	"30"	"99"	"1"
"NLA06608-0124"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0126"	"0"	"0"	"0"	"1"	"0"
"NLA06608-0127"	"0"	"1"	"1"	"4"	"1"
"NLA06608-0128"	"0"	"0"	"0"	"0"	"0"
"NLA06608-0129"	"0"	"0"	"11"	"37"	"1"
"NLA06608-0130"	"1"	"4"	"4"	"15"	"4"
"NLA06608-0132"	"0"	"0"	"1"	"22"	"0"
"NLA06608-0134"	"5"	"11"	"42"	"160"	"0"
