"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0001"	0	0	3	12	0
"NLA06608-0002"	4	5	7	32	0
"NLA06608-0003"	0	0	3	12	1
"NLA06608-0004"	1	4	23	144	4
"NLA06608-0005"	0	0	1	5	2
"NLA06608-0006"	3	53	151	350	0
"NLA06608-0007"	0	1	19	133	0
"NLA06608-0008"	0	2	21	62	0
"NLA06608-0010"	2	10	19	31	0
"NLA06608-0012"	0	1	8	41	1
"NLA06608-0013"	30	97	366	785	0
"NLA06608-0014"	1	1	7	43	0
"NLA06608-0015"	1	2	2	20	1
"NLA06608-0016"	4	6	10	22	5
"NLA06608-0019"	0	0	0	13	1
"NLA06608-0020"	0	0	40	171	0
"NLA06608-0021"	0	0	40	83	0
"NLA06608-0023"	0	3	7	46	1
"NLA06608-0024"	0	1	3	24	1
"NLA06608-0025"	1	7	43	85	0
"NLA06608-0029"	3	7	67	322	0
"NLA06608-0031"	0	0	4	14	0
"NLA06608-0033"	1	2	8	75	16
"NLA06608-0036"	0	3	17	67	0
"NLA06608-0037"	25	39	140	406	0
"NLA06608-0038"	0	1	7	62	0
"NLA06608-0041"	4	11	32	85	0
"NLA06608-0042"	1	2	32	84	15
"NLA06608-0043"	0	0	4	94	0
"NLA06608-0044"	0	0	0	7	14
"NLA06608-0045"	0	0	20	131	0
"NLA06608-0048"	0	4	17	56	0
"NLA06608-0049"	0	0	1	5	1
"NLA06608-0050"	0	0	35	119	0
"NLA06608-0053"	0	0	1	52	0
"NLA06608-0057"	0	6	41	99	0
"NLA06608-0061"	0	0	1	5	1
"NLA06608-0062"	0	0	3	36	3
"NLA06608-0064"	1	1	3	11	5
"NLA06608-0065"	1	1	1	15	6
"NLA06608-0066"	6	19	42	127	0
"NLA06608-0068"	5	19	75	247	37
"NLA06608-0069"	4	12	36	57	0
"NLA06608-0071"	1	2	15	44	0
"NLA06608-0072"	1	6	9	22	5
"NLA06608-0073"	7	22	52	128	35
"NLA06608-0076"	1	3	142	215	6
"NLA06608-0077"	42	143	363	832	0
"NLA06608-0078"	0	1	8	35	0
"NLA06608-0079"	1	11	115	353	26
"NLA06608-0080"	1	8	22	91	0
"NLA06608-0081"	0	2	5	44	1
"NLA06608-0083"	0	0	0	15	2
"NLA06608-0085"	2	10	30	70	59
"NLA06608-0086"	2	32	117	246	14
"NLA06608-0089"	2	10	25	109	0
"NLA06608-0090"	4	6	22	66	6
"NLA06608-0091"	1	26	64	215	0
"NLA06608-0099"	4	13	82	242	0
"NLA06608-0101"	0	14	77	359	0
"NLA06608-0102"	0	2	12	29	0
"NLA06608-0104"	2	17	34	66	0
"NLA06608-0105"	1	1	1	24	2
"NLA06608-0107"	0	3	35	77	0
"NLA06608-0110"	4	10	19	48	0
"NLA06608-0111"	0	0	15	35	0
"NLA06608-0112"	4	6	17	88	0
"NLA06608-0113"	0	1	4	61	0
"NLA06608-0115"	0	9	49	193	0
"NLA06608-0116"	4	6	13	34	5
"NLA06608-0120"	0	0	4	36	1
"NLA06608-0124"	0	0	0	7	0
"NLA06608-0126"	0	0	5	30	1
"NLA06608-0127"	0	1	1	18	1
"NLA06608-0128"	0	1	4	21	0
"NLA06608-0129"	0	1	6	17	4
"NLA06608-0130"	2	5	5	16	5
"NLA06608-0132"	0	0	1	26	0
"NLA06608-0134"	23	49	149	346	0
"NLA06608-0137"	1	6	74	202	3
"NLA06608-0139"	0	0	7	53	0
"NLA06608-0140"	2	14	41	260	17
"NLA06608-0141"	2	25	147	733	0
"NLA06608-0142"	14	27	43	90	0
"NLA06608-0144"	0	1	5	17	2
"NLA06608-0148"	14	17	50	235	0
"NLA06608-0149"	7	22	49	186	0
"NLA06608-0150"	0	0	2	12	0
"NLA06608-0152"	0	0	0	39	1
"NLA06608-0153"	0	6	10	39	0
"NLA06608-0155"	4	23	88	269	0
"NLA06608-0158"	0	5	22	82	0
"NLA06608-0161"	14	25	49	86	0
"NLA06608-0162"	4	6	29	230	0
"NLA06608-0167"	2	7	40	191	0
"NLA06608-0168"	0	1	11	85	5
"NLA06608-0169"	0	0	7	38	1
"NLA06608-0170"	0	1	3	42	0
"NLA06608-0173"	6	21	30	39	38
"NLA06608-0174"	0	1	9	67	0
"NLA06608-0175"	2	9	69	139	0
"NLA06608-0176"	0	5	9	40	0
"NLA06608-0177"	0	0	4	70	0
"NLA06608-0179"	0	0	3	12	0
"NLA06608-0180"	0	1	3	18	1
"NLA06608-0181"	15	29	58	149	2
"NLA06608-0183"	1	7	47	187	0
"NLA06608-0184"	51	131	179	249	84
"NLA06608-0185"	2	9	73	660	0
"NLA06608-0189"	0	4	10	28	0
"NLA06608-0190"	0	0	6	24	0
"NLA06608-0191"	0	0	16	107	0
"NLA06608-0193"	2	2	6	17	5
"NLA06608-0195"	0	0	7	40	1
"NLA06608-0196"	0	3	14	150	0
"NLA06608-0198"	2	2	8	20	0
"NLA06608-0201"	1	7	136	290	8
"NLA06608-0203"	0	1	49	185	0
"NLA06608-0204"	0	0	3	15	4
